word,frequency,topic_id
interest,209,1
human,208,1
criminal,207,1
intelligence,207,1
thousand,206,1
early,206,1
teacher,205,1
georgia,205,1
ohio,205,1
battle,205,1
allegation,204,1
address,204,1
calling,204,1
side,204,1
role,203,1
cnn,203,1
lost,202,1
across,202,1
veteran,202,1
mass,202,1
break,202,1
super,202,1
caucus,202,1
vice,201,1
young,201,1
legislation,201,1
iraq,201,1
using,200,1
critic,200,1
everyone,200,1
staff,199,1
alabama,199,1
evidence,199,1
decade,198,1
protection,198,1
life,3977,2
health,2922,2
time,2730,2
one,2672,2
people,2614,2
way,2490,2
new,2228,2
u,2176,2
study,2148,2
day,2134,2
make,2100,2
year,1910,2
get,1902,2
may,1765,2
thing,1756,2
like,1676,2
sleep,1613,2
cancer,1597,2
need,1559,2
help,1533,2
could,1521,2
know,1514,2
food,1472,2
take,1439,2
love,1351,2
many,1343,2
good,1302,2
find,1272,2
want,1248,2
weight,1243,2
healthy,1233,2
work,1222,2
even,1181,2
feel,1172,2
heart,1109,2
change,1106,2
say,1049,2
body,1040,2
stress,1021,2
world,993,2
woman,990,2
better,978,2
risk,974,2
go,970,2
come,966,2
think,940,2
care,930,2
would,927,2
much,922,2
disease,887,2
best,871,2
first,851,2
also,838,2
patient,820,2
yoga,808,2
really,807,2
every,795,2
part,784,2
exercise,772,2
something,764,2
back,758,2
fear,739,2
living,723,2
mind,719,2
brain,716,2
let,716,2
see,707,2
right,706,2
relationship,704,2
eating,689,2
others,678,2
feeling,671,2
experience,667,2
meditation,666,2
drug,664,2
keep,660,2
tip,655,2
diet,655,2
workout,650,2
problem,649,2
mental,644,2
often,636,2
never,635,2
child,635,2
live,634,2
practice,634,2
found,634,2
might,628,2
thought,628,2
loss,626,2
researcher,621,2
moment,619,2
week,612,2
lost,610,2
mean,609,2
doctor,606,2
show,603,2
step,600,2
going,599,2
important,594,2
american,587,2
person,580,2
look,579,2
still,574,2
family,569,2
well,565,2
eat,562,2
gps,560,2
give,559,2
reason,556,2
happiness,553,2
two,548,2
without,547,2
holiday,546,2
always,540,2
become,539,2
start,537,2
little,536,2
research,536,2
video,530,2
making,529,2
getting,526,2
great,524,2
said,523,2
around,520,2
use,508,2
death,508,2
sometimes,508,2
medical,507,2
friend,503,2
long,503,2
benefit,502,2
power,499,2
last,497,2
someone,495,2
treatment,489,2
le,489,2
ever,485,2
guide,484,2
stop,484,2
today,483,2
month,481,2
habit,469,2
state,467,2
simple,466,2
human,464,2
story,464,2
matter,461,2
question,458,2
pain,457,2
pound,457,2
fitness,453,2
try,446,2
happy,439,2
goal,432,2
place,430,2
learn,430,2
bad,426,2
enough,423,2
ca,423,2
choice,421,2
common,419,2
another,417,2
linked,416,2
easy,411,2
challenge,411,2
success,411,2
actually,409,2
word,408,2
end,405,2
whether,400,2
different,397,2
lot,395,2
medicine,392,2
finding,391,2
kid,390,2
home,389,2
percent,387,2
age,387,2
made,386,2
cause,384,2
three,384,2
share,381,2
hard,380,2
big,379,2
effect,378,2
next,377,2
fact,377,2
taking,376,2
move,375,2
away,373,2
past,371,2
believe,371,2
real,370,2
night,368,2
TRUE,368,2
tell,364,2
dream,364,2
personal,364,2
face,363,2
top,362,2
control,361,2
men,360,2
case,359,2
must,359,2
course,357,2
turn,357,2
put,356,2
fat,355,2
depression,354,2
high,352,2
school,351,2
truth,349,2
season,348,2
everyone,348,2
soul,347,2
disorder,343,2
energy,340,2
illness,338,2
daily,338,2
lose,336,2
according,335,2
adult,335,2
breast,333,2
instead,332,2
positive,330,2
learned,329,2
level,328,2
likely,328,2
news,327,2
everything,327,2
mindfulness,325,2
focus,325,2
hope,324,2
lesson,323,2
lead,322,2
point,321,2
talk,321,2
idea,320,2
result,319,2
obesity,319,2
stay,317,2
got,316,2
attention,315,2
expert,314,2
summer,314,2
blood,312,2
key,312,2
anxiety,311,2
present,311,2
resolution,308,2
yet,308,2
create,304,2
working,303,2
social,302,2
awareness,300,2
able,299,2
kind,298,2
small,298,2
future,297,2
sense,296,2
job,295,2
used,295,2
five,294,2
emotional,294,2
suggests,294,2
ask,293,2
joy,292,2
process,291,2
thinking,289,2
physical,286,2
affect,286,2
hour,284,2
number,283,2
since,281,2
running,281,2
possible,279,2
public,279,2
issue,276,2
mother,276,2
system,276,2
nothing,276,2
young,276,2
remember,275,2
light,274,2
secret,274,2
nutrition,274,2
run,273,2
action,272,2
diabetes,272,2
anything,272,2
calorie,272,2
call,267,2
however,267,2
support,266,2
whole,265,2
trying,264,2
sugar,264,2
condition,263,2
side,263,2
report,262,2
self,262,2
morning,261,2
healthier,261,2
addiction,261,2
wrong,261,2
understand,261,2
decision,261,2
improve,260,2
old,260,2
published,260,2
minute,259,2
fall,259,2
rather,259,2
inner,259,2
answer,257,2
open,257,2
type,256,2
sure,256,2
training,254,2
list,253,2
music,250,2
act,249,2
longer,249,2
photo,249,2
far,249,2
perfect,248,2
opportunity,248,2
within,247,2
avoid,246,2
test,243,2
drink,243,2
hospital,243,2
click,243,2
form,242,2
journal,242,2
million,241,2
read,241,2
set,240,2
bring,239,2
flu,239,2
science,239,2
money,237,2
fit,237,2
together,236,2
activity,236,2
balance,236,2
break,235,2
emotion,234,2
choose,234,2
plan,232,2
looking,232,2
journey,232,2
least,231,2
behavior,230,2
therapy,230,2
begin,230,2
eye,229,2
america,229,2
fda,229,2
difference,228,2
national,227,2
full,227,2
simply,227,2
symptom,226,2
gift,226,2
seems,226,2
though,225,2
done,224,2
increase,224,2
spiritual,223,2
lower,222,2
fight,222,2
powerful,222,2
among,221,2
connected,221,2
book,220,2
hold,220,2
dog,220,2
learning,219,2
rest,219,2
anyone,218,2
peace,218,2
parent,217,2
early,216,2
center,216,2
country,216,2
water,215,2
giving,215,2
yes,214,2
rate,214,2
recent,214,2
loved,213,2
quality,213,2
gym,212,2
difficult,212,2
strain,212,2
play,211,2
fearless,211,2
lifestyle,211,2
happen,210,2
community,210,2
head,210,2
using,209,2
hand,209,2
else,209,2
university,208,2
ability,208,2
order,207,2
group,207,2
chronic,207,2
negative,207,2
maybe,207,2
skin,206,2
routine,205,2
watch,205,2
solution,205,2
conversation,204,2
man,204,2
nature,204,2
sign,203,2
company,203,2
connection,203,2
cost,202,2
situation,202,2
